date	user	intensity	diameter	power	factor	note
04-Nov-2025 13:28:08	admin	1	500	500.5	0.0025490255685598	
13-Oct-2025 09:14:10	admin	1	500	499.6	0.00254444190619875	
06-Oct-2025 09:38:14	admin	1	500	498.6	0.00253934894801981	
03-Oct-2025 14:00:14	admin	1	500	500.5	0.0025490255685598	
23-Sep-2025 15:36:57	admin	1	500	89.5	0.000455819757015188	
23-Sep-2025 14:17:13	admin	1	500	105.3	0.000536288496242451	
17-Sep-2025 10:40:16	admin	1	500	56.1	0.000285714953838571	
13-Aug-2025 15:23:27	admin	1	500	46.93	0.000239012527337685	
28-Jul-2025 17:12:24	admin	1	500	40.09	0.000204176693393731	
12-May-2025 12:22:49	admin	1	500	74.5	0.000379425384331078	
03-Mar-2025 11:41:30	admin	1	500	41.7	0.000212376356061825	
03-Oct-2024 08:38:22	admin	1	500	24.6	0.00012528677120194	
07-Jun-2024 12:47:08	admin	1	500	18	9.16732472209317e-05	
22-Mar-2024 10:21:47	admin	1	500	17.4	8.86174723135673e-05	
21-Mar-2024 12:53:27	admin	1	500	117	0.000595876106936056	
18-Nov-2025 11:21:54	admin	1	500	508	0.00258722275490185	
