date	user	intensity	diameter	power	factor	note
27-Jan-2026 08:55:49	admin	1	500	276.5	0.00140820293647709	
19-Jan-2026 13:39:56	admin	1	500	286.5	0.0014591325182665	
02-Jan-2026 10:12:19	admin	1	500	282.6	0.00143926998136863	
18-Dec-2025 15:01:59	admin	1	500	284.6	0.00144945589772651	
15-Dec-2025 10:39:30	admin	1	500	282.7	0.00143977927718652	
12-Dec-2025 13:21:03	admin	1	500	97.7	0.000497582014082502	
18-Nov-2025 11:22:01	admin	1	500	292	0.00148714378825067	
04-Nov-2025 13:28:22	admin	1	500	285.5	0.00145403956008756	
13-Oct-2025 09:14:25	admin	1	500	285.6	0.00145454885590545	
06-Oct-2025 09:38:30	admin	1	500	284.6	0.00144945589772651	
03-Oct-2025 14:00:36	admin	1	500	286.5	0.0014591325182665	
23-Sep-2025 15:37:20	admin	1	500	85.3	0.000434429332663638	
23-Sep-2025 14:17:31	admin	1	500	102.3	0.000521009621705629	
17-Sep-2025 10:40:29	admin	1	500	5.57	2.83677770566994e-05	
13-Aug-2025 15:23:43	admin	1	500	26.83	0.000136644067940978	
28-Jul-2025 17:12:39	admin	1	500	22.89	0.000116577812715952	
12-May-2025 12:23:07	admin	1	500	42.8	0.00021797861005866	
03-Mar-2025 11:42:08	admin	1	500	4.9	2.49554950768092e-05	
03-Oct-2024 08:38:39	admin	1	500	8.7	4.43087361567837e-05	
07-Jun-2024 12:47:28	admin	1	500	11.2	5.70411316041353e-05	
22-Mar-2024 10:22:08	admin	1	500	12.9	6.56991605083344e-05	
21-Mar-2024 12:53:34	admin	1	500	117	0.000595876106936056	
10-Feb-2026 14:22:15	admin	1	500	281.7	0.00143468631900758	
